Cuenta Bancaria,Proveedor,Fecha de Transacción,Fecha Contable,Número de Transacción,Periodo,Tipo,Estatus,Monto,Zona Geografica
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,68000079,ABR-26,Debit,Posted,7932.73,006
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,60100033,ABR-26,Debit,Posted,7933.36,011
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,60400877,ABR-26,Debit,Posted,7935.61,010
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,16000928,ABR-26,Debit,Posted,7935.79,004
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,18200080,ABR-26,Debit,Posted,7936.09,003
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,70400079,ABR-26,Debit,Posted,7936.27,014
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,66600939,ABR-26,Debit,Posted,7936.31,010
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,40100700,ABR-26,Debit,Posted,7937.56,012
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,44000037,ABR-26,Debit,Posted,7938.09,013
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,60300098,ABR-26,Debit,Posted,7938.43,011
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,18100768,ABR-26,Debit,Posted,7940.16,004
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,69000644,ABR-26,Debit,Posted,7940.39,008
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,48000919,ABR-26,Debit,Posted,7947.07,012
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,19000896,ABR-26,Debit,Posted,7949.38,005
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,60400861,ABR-26,Debit,Posted,7950.12,010
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,13400928,ABR-26,Debit,Posted,7950.35,002
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,55000809,ABR-26,Debit,Posted,7952.74,008
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,28600295,ABR-26,Debit,Posted,7953.35,007
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,60600234,ABR-26,Debit,Posted,7956.23,011
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,19200556,ABR-26,Debit,Posted,7957.13,005
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,11300080,ABR-26,Debit,Posted,7957.42,001
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,17000073,ABR-26,Debit,Posted,7957.98,001
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,50100919,ABR-26,Debit,Posted,7960.0,006
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,31300255,ABR-26,Debit,Posted,7960.79,009
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,28700118,ABR-26,Debit,Posted,7961.09,007
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,20700622,ABR-26,Debit,Posted,7962.72,003
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,59100190,ABR-26,Debit,Posted,7964.04,006
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,33000036,ABR-26,Debit,Posted,7966.86,011
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,13400423,ABR-26,Debit,Posted,7968.29,002
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,60000727,ABR-26,Debit,Posted,7969.56,011
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,40000980,ABR-26,Debit,Posted,7970.47,012
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,14100933,ABR-26,Debit,Posted,7972.72,001
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,16400423,ABR-26,Debit,Posted,7976.0,005
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,27500305,ABR-26,Debit,Posted,7976.0,007
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,13200048,ABR-26,Debit,Posted,7976.0,002
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,15700396,ABR-26,Debit,Posted,7976.0,001
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,50100759,ABR-26,Debit,Posted,7977.55,006
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,50300668,ABR-26,Debit,Posted,7978.14,006
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,27500674,ABR-26,Debit,Posted,7978.65,007
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,15600084,ABR-26,Debit,Posted,7980.54,001
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,18900946,ABR-26,Debit,Posted,7981.94,001
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,41100081,ABR-26,Debit,Posted,7988.05,012
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,60300880,ABR-26,Debit,Posted,7988.21,011
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,27100062,ABR-26,Debit,Posted,7990.29,006
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,28100939,ABR-26,Debit,Posted,7992.88,007
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,11200339,ABR-26,Debit,Posted,7992.92,004
01020684710000014766,DJFR AJUSTE MERCHANT VZLA MERCANTIL ABR 26 Manuales A 3070638 18745521,2026-04-01,2026-04-01,48300639,ABR-26,Debit,Posted,7994.35,012
