Número de Extracto,Fecha Contable,Estado,Referencia,Fecha Efectiva,Descripción,Tipo,Monto,Banco,Cuenta Bancaria,Cuenta Contable,Sub-cuenta,Código de Transacción,Divisa
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D21000434,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,13625.7,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D26700222,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,9612.81,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D26700222,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,58971.97,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D26900286,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,529.66,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D26900840,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,9461.46,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D27000634,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,35296.2,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D27100245,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,111724.83,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D27100114,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,1442.86,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D27500642,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,3034.82,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D27500184,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,3204.16,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D27500697,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,12829.84,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
